254, 254, 254, 254, 254, 253, 251, 247, 241, 233, 223, 212, 200, 188, 176, 165, 157, 149, 143, 141, 141, 143, 149, 157, 165, 176, 188, 200, 212, 223, 233, 241, 247, 251, 253, 254, 254, 254, 254, 254, 254, 
254, 254, 254, 254, 252, 250, 244, 236, 225, 212, 197, 180, 164, 147, 133, 120, 110, 103, 98, 96, 96, 98, 103, 110, 120, 133, 147, 164, 180, 197, 212, 225, 236, 244, 250, 252, 254, 254, 254, 254, 254, 
254, 254, 254, 252, 248, 242, 232, 219, 202, 182, 161, 141, 121, 104, 89, 79, 70, 63, 59, 56, 56, 59, 63, 70, 79, 89, 104, 121, 141, 161, 182, 202, 219, 232, 242, 248, 252, 254, 254, 254, 254, 
254, 254, 252, 248, 241, 230, 213, 193, 169, 146, 121, 100, 81, 64, 53, 43, 35, 31, 27, 25, 25, 27, 31, 35, 43, 53, 64, 81, 100, 121, 146, 169, 193, 213, 230, 241, 248, 252, 254, 254, 254, 
254, 252, 248, 241, 229, 211, 187, 162, 134, 107, 83, 63, 47, 33, 23, 16, 11, 9, 6, 6, 6, 6, 9, 11, 16, 23, 33, 47, 63, 83, 107, 134, 162, 187, 211, 229, 241, 248, 252, 254, 254, 
253, 250, 242, 230, 211, 186, 158, 126, 97, 72, 50, 33, 21, 11, 6, 4, 2, 2, 1, 1, 1, 1, 2, 2, 4, 6, 11, 21, 33, 50, 72, 97, 126, 158, 186, 211, 230, 242, 250, 253, 253, 
251, 244, 232, 214, 188, 158, 124, 93, 64, 42, 25, 14, 6, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 6, 14, 25, 42, 64, 93, 124, 158, 187, 213, 232, 244, 251, 251, 
247, 236, 218, 193, 162, 126, 93, 63, 38, 21, 9, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 4, 9, 21, 38, 63, 93, 126, 162, 193, 218, 236, 247, 247, 
241, 225, 201, 169, 134, 97, 64, 38, 19, 6, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 6, 19, 38, 64, 97, 133, 169, 201, 225, 241, 241, 
233, 212, 182, 145, 107, 71, 42, 21, 6, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 6, 21, 42, 71, 106, 145, 182, 212, 233, 233, 
223, 197, 161, 121, 82, 50, 25, 9, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 9, 25, 50, 82, 120, 161, 197, 223, 223, 
212, 179, 141, 100, 63, 33, 14, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 14, 33, 61, 98, 140, 179, 212, 212, 
200, 164, 120, 80, 47, 21, 6, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 6, 21, 47, 80, 120, 164, 200, 200, 
